DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
177542,177542,MiniPAT,DS,6,0,3,59,59,21:01:59 03-Feb-2019,NP,1,-2.9183,-88.4245,-2.9183,-88.4245,58,,401677377,-132
177542,177542,MiniPAT,DS,15,0,1,59,59,22:34:46 03-Feb-2019,NP,3,-2.9487,-88.4278,-2.9487,-88.4278,58,,401677380,-122
177542,177542,MiniPAT,DS,4,0,2,99,60,23:19:00 03-Feb-2019,NK,1,-2.9621,-88.4232,-2.9621,-88.4232,58,,401677381,-132
177542,177542,MiniPAT,DS,10,0,1,66,59,23:31:00 03-Feb-2019,SR,3,-2.9665,-88.4295,-2.9665,-88.4295,56,,401677382,-120
177542,177542,MiniPAT,DS,11,0,0,71,59,00:54:57 04-Feb-2019,NK,2,-2.9964,-88.4304,-2.9964,-88.4304,58,,401677382,-121
177542,177542,MiniPAT,DS,5,0,1,120,59,00:57:29 04-Feb-2019,NN,2,-2.9948,-88.4248,-2.9948,-88.4248,56,,401677382,-130
177542,177542,MiniPAT,DS,8,0,2,59,59,01:12:58 04-Feb-2019,SR,3,-3.0002,-88.4245,-3.0002,-88.4245,66,,401677383,-130
177542,177542,MiniPAT,DS,13,0,1,59,59,02:16:31 04-Feb-2019,MA,3,-3.0226,-88.4210,-3.0226,-88.4210,58,,401677383,-120
177542,177542,MiniPAT,DS,14,0,1,59,59,02:41:49 04-Feb-2019,NN,3,-3.0273,-88.4209,-3.0273,-88.4209,56,,401677382,-121
177542,177542,MiniPAT,DS,13,0,0,59,59,02:50:45 04-Feb-2019,MC,3,-3.0288,-88.4180,-3.0288,-88.4180,56,,401677383,-116
177542,177542,MiniPAT,DS,12,0,1,70,59,03:25:44 04-Feb-2019,MB,2,-3.0360,-88.4146,-3.0360,-88.4146,58,,401677382,-123
177542,177542,MiniPAT,DS,13,0,1,64,59,03:57:33 04-Feb-2019,MA,3,-3.0472,-88.4189,-3.0472,-88.4189,58,,401677382,-117
177542,177542,MiniPAT,DS,12,0,1,59,59,04:24:59 04-Feb-2019,MC,3,-3.0591,-88.4172,-3.0591,-88.4172,56,,401677384,-121
177542,177542,MiniPAT,DS,14,0,0,59,59,09:39:11 04-Feb-2019,NP,3,-3.1024,-88.3995,-3.1024,-88.3995,58,,401677384,-124
